Selección,R32,Octavos,Cuartos,Semis,Final,Campeón
España,99.36557462777897,78.46614629854781,52.12137995709654,39.58652890353167,25.769669287501063,15.78234934223774
Francia,99.46503966744642,87.32271872787707,60.21304149950875,39.585590822426695,24.362347726237807,12.532264512734526
Inglaterra,99.46503966744642,79.29375741246297,53.4292765250498,34.23545754270223,20.243055333347662,10.475363263069218
Argentina,99.46503966744642,64.81402779801321,45.82402815481748,29.739501419026645,17.984105566398476,9.833767546947394
Portugal,99.46503966744642,75.19554795213968,49.01948796458352,28.109921233402858,15.132867760444965,7.236919102754803
Brasil,99.46503966744642,63.97305215055994,42.09006718894413,24.109415113960377,12.889441350632671,6.718454688275519
Alemania,99.46503966744642,69.13923138556756,36.96728321733174,21.18414249432236,10.618275095054416,5.224112508136852
Países Bajos,97.37208793095706,55.14107541276803,36.011724584784986,18.727332766707654,9.235127539419153,4.596515571013742
Marruecos,97.52240173138438,54.499023422288595,33.78389509005617,16.460657267266797,7.7813006496527475,3.6258935924730817
Bélgica,97.38899100783841,66.36613522485621,38.20525439256781,16.81662448572635,7.986206971770274,3.516930933671496
Colombia,94.38630789977344,50.754815706253495,24.363385882252047,11.42168055279737,4.7184033383036805,2.1366872955644944
Croacia,92.28920514234004,50.09324159715395,22.257471540551176,10.781020530781348,4.661489342358727,2.078334069759703
Uruguay,94.75390497297725,39.072228513229206,21.88314133736918,10.253088233970859,4.241955301546443,1.8905845641309291
Senegal,89.63158499378268,51.79487340515213,23.930259022123128,10.301907949581944,4.180997363992521,1.6618678965501623
México,96.06887664970301,56.47338081135434,23.273693078761866,8.850291624112035,3.283600902904589,1.5592001919021765
Estados Unidos,88.85971635308962,50.846140018763876,23.88083289820783,9.257201583841328,3.6940510157676627,1.544062325961379
Suiza,95.87712240489323,55.14107541276803,22.98432630401136,8.195866496197581,3.0877386669470206,1.298958793599814
Noruega,86.06516533549433,44.59298367248441,20.496479251197172,8.41695740083597,3.0873402490545105,1.2226599524619053
Japón,84.9780264049407,34.73792714321448,16.832699059444415,6.667831121554094,2.4389151289956383,1.0584515769694485
Ecuador,90.13740657952638,41.602307955945484,16.675384114963624,6.434545162550879,2.372399261841211,0.915186414026109
Türkiye,79.23317288138264,41.49440172219339,16.931787043955037,6.143937510764018,2.235124376977134,0.8153464427518833
Canadá,89.63158499378268,44.36401456418604,16.327372929872055,5.083352888004262,1.5696668920134866,0.6298551270258298
Austria,79.73149472340393,22.345500075709154,8.751724246527404,3.193425572132889,0.9761238366477676,0.48960754527992983
Suecia,65.58048991253634,21.78799113442631,9.103708576913832,3.0502102110152958,0.9226860368149588,0.4628040301735337
Costa de Marfil,79.81864623035503,31.61775404651857,10.828171503223132,3.661034316623776,1.026244807525437,0.46186977904121396
Corea del Sur,81.69849063110398,35.92440073176389,11.603730447015987,3.42348255722736,0.9418001352080922,0.4199034180172199
Argelia,76.78371671589287,21.113171287642338,8.337692057481812,2.7994315080385714,0.7981904058531175,0.34640233428091044
Egipto,77.56313493249257,28.352174824928095,8.544040231411158,2.349448813783483,0.6463334261232005,0.32419013891035353
Paraguay,52.42345778063809,20.09629857951869,5.991640617712364,1.7774168305006801,0.49802236563661617,0.19983981439997142
Australia,58.004662411276364,23.81559876490055,7.001379397221923,1.9551585135507485,0.4880619183238838,0.1958430181119719
Chequia,65.25125863794973,22.60717764238522,5.943039572177216,1.501877723621286,0.3710067415046535,0.18609083516925326
Irán,70.42124808455205,23.577442777251544,5.754371649250953,1.3936429131817416,0.27538644730242323,0.09208618647550681
Escocia,54.6831330558125,15.480941069197641,4.551854288456917,1.09773263451722,0.27395214288938985,0.09160657092094687
Ghana,32.777238756191416,8.424467361078962,2.1656343006446264,0.4479090412861715,0.1129514725263845,0.056654587382391895
Túnez,27.48045630010521,6.159565012894841,1.5322884202674243,0.311047945337619,0.1045846967836894,0.052457951279992435
Bosnia y Herzegovina,49.92586870842746,13.776359164166603,2.953584153682144,0.5687733857602176,0.19124058840446057,0.047961555455993135
RD Congo,39.959905273751886,9.280747874346966,2.0839122515636967,0.42717251159699676,0.10772223768720009,0.04322535185471381
Panamá,28.20501625840414,6.533771951961741,1.3751306335733293,0.29623613841678,0.09960447312732319,0.029975972159995704
Uzbekistán,30.98166556214668,6.403096512922507,1.2385998063828345,0.2843866928801088,0.09562029420223028,0.028776933273595796
Sudáfrica,27.48045630010521,6.159565012894841,1.0117032518432352,0.2034154817128556,0.10259260732114295,0.020583500883197024
Arabia Saudita,27.208372574361594,4.5538410574278805,0.8840125501542833,0.19749075894451995,0.09960447312732319,0.01998398143999707
Qatar,29.695038431795115,5.799653174886477,0.924186009377961,0.18200748344326959,0.09179548243414107,0.018417237295101346
Cabo Verde,17.142271365531844,2.4749136181673266,0.39289446673523704,0.09874537947225998,0.039841789250929294,0.009991990719998536
Jordania,11.938794691145697,1.4552492074823877,0.28583072454988484,0.09479556429336952,0.03824811768089207,0.009592311091198565
Nueva Zelanda,16.970848651876523,2.9104984149647755,0.4763845409164748,0.09479556429336952,0.03824811768089207,0.009592311091198565
Irak,8.485424325938261,1.4552492074823877,0.28583072454988484,0.09479556429336952,0.03824811768089207,0.009592311091198565
Curazao,8.485424325938261,1.1641993659859102,0.1905538163665899,0.03791822571734775,0.019124058840446035,0.009592311091198565
Haití,10.952117443943571,1.552265821314547,0.28583072454988484,0.09479556429336952,0.028686088260669002,0.009592311091198565
